year,city,growth,workers,company,state_s,revenue,industry,yrsonlist
2018,Boulder,77.7346,25,Creative Alignments,CO,2807394,Human Resources,1
2018,Philadelphia,343.81,292,OPS Security Group,PA,2805989,Security,1
2018,Milwaukee,980.0342,20,Rent College Pads,WI,2805000,Real Estate,1
2018,Birmingham,213.928,27,B&B Heating and Air,AL,2801660,Construction,2
2018,Minneapolis,126.4826,9,Tech Guru,MN,2801261,IT Services,2
2018,San Antonio,75.05,19,Pax Financial Group,TX,2800800,Financial Services,2
2018,Austin,203.0127,28,Jackrabbit Mobile,TX,2800434,Business Products & Services,1
2018,Knoxville,155.8875,9,PDS Consulting Solutions,TN,2799153,Financial Services,1
2018,Hanover,1361.5291,52,Rustic Marlin,MA,2795116,Consumer Products & Services,1
2018,Lehi,272.079,17,Noke,UT,2794313,Security,1
2018,Boston,362.8515,45,Apptopia,MA,2789884,Business Products & Services,1
2018,Sarasota,102.0021,4,Prestige Healthcare Resources,FL,2787845,Health,2
2018,Seattle,98.6593,13,EVELO Electric Bicycles,WA,2786819,Manufacturing,1
2018,New York City,1261.086,38,Upfluence,NY,2785163,Advertising & Marketing,1
2018,Roy,577.6246,38,Clearview Business Intelligence,UT,2783709,Software,1
2018,St Charles,129.2891,10,BoardPaq,MO,2781878,Software,2
2018,Webster Groves,204.593,11,Digital Strike Targeted Marketing,MO,2781223,Advertising & Marketing,1
2018,Washington,190.8246,8,Kupanda Capital,DC,2778806,Financial Services,2
2018,Santa Clara,152.8921,170,Bolton Remote,CA,2778004,Business Products & Services,1
2018,Boise,90.4466,7,Prosperity Organic Foods,ID,2772390,Food & Beverage,2
2018,Clearwater,366.8015,15,Advanced Medical Integration,FL,2771125,Health,1
2018,Sterling,1301.913,46,Nivid Infotech,VA,2770867,Telecommunications,1
2018,Hauppauge,71.181,27,Interactive Entertainment Group,NY,2764749,Travel & Hospitality,1
2018,Woodinville,169.7761,20,Surdi Enterprise,WA,2760333,Consumer Products & Services,1
2018,Mason,297.4685,33,STACK Construction Technologies,OH,2757080,Software,2
2018,Austin,479.3866,20,Capstone Title,TX,2753500,Real Estate,1
2018,San Jose,243.2819,29,Impekable,CA,2748037,Software,1
2018,Milwaukee,1257.8574,23,TechCanary,WI,2747380,Software,1
2018,New York City,476.5431,55,Museum Hack,NY,2743642,Travel & Hospitality,1
2018,Riverside,283.3076,16,InnovateEd,CA,2743524,Education,1
2018,Hendersonville,155.6983,14,GSG Computers,TN,2741382,IT Services,2
2018,Rochester,1044.5089,22,Trbhi,MN,2740000,IT Services,2
2018,Rolling Meadows,317.7039,11,Scotty Gear Retail,IL,2739582,Retail,2
2018,Walnut,774.9355,5,Whois API,CA,2738548,Business Products & Services,2
2018,Chicago,2126.7562,5,Meridian Appraisal Management,IL,2737240,Real Estate,1
2018,San Diego,681.5823,15,Colepepper Plumbing,CA,2735538,Construction,1
2018,Denver,76.7775,21,Spark Policy Institute,CO,2732091,Business Products & Services,1
