 url, rank, city, growth, company, country, revenue, industry, yrs_on_list
https://www.inc.com/profile/alma-spa---agenzia-per-il-lavoro,135,Rome,2121.5579,Alma S.P.A. - Agenzia PER IL Lavoro,Italy,157556397,Human Resources,1
https://www.inc.com/profile/kom-invest,136,Vladivostok,2104.804,Kom-Invest,Russian Federation,8590247,Retail,1
https://www.inc.com/profile/farmacosmo-srl,137,Napoli,2094.0773,Farmacosmo S.R.L.,Italy,6776671,Retail,1
https://www.inc.com/profile/the-belgian,138,Wolvertem,2092.7443,The Belgian,Belgium,8669190,Construction,1
https://www.inc.com/profile/podryadchik,139,Irkutsk,2091.1043,Podryadchik,Russian Federation,30392654,Construction,1
https://www.inc.com/profile/nordkinn-asset-management-ab,140,Stockholm,2082.7543,Nordkinn Asset Management AB,Sweden,8899482,Financial Services,1
https://www.inc.com/profile/kompaniya-optima,141,Moscow,2075.8432,Kompaniya Optima,Russian Federation,6176566,Food & Beverage,1
https://www.inc.com/profile/connexa-barnevern-as,142,Flateby,2073.8388,Connexa Barnevern AS,Norway,8026552,Health,1
https://www.inc.com/profile/zakrytoe-aktsionernoe-obshchestvo-spetsavtomatika,143,G Ekaterinburg,2059.2345,Zakrytoe Aktsionernoe Obshchestvo Spetsavtomatika,Russian Federation,7808526,Construction,2
https://www.inc.com/profile/afi-car-utilaje,144,Bucharest,2052.0597,AFI Car Utilaje,Romania,4774990,Manufacturing,1
https://www.inc.com/profile/sibpromservis,145,Nizhnevartovsk,2051.2904,Sibpromservis,Russian Federation,24922205,Environmental Services,1
https://www.inc.com/profile/cantiere-del-pardo-spa,146,Forli,2049.2513,Cantiere Del Pardo S.P.A.,Italy,16274002,Consumer Products & Services,2
https://www.inc.com/profile/bidtheatre-ab,147,Stockholm,2044.7605,Bidtheatre AB,Sweden,6611696,Software,1
https://www.inc.com/profile/hyperoptic,148,London,2018.9311,Hyperoptic,United Kingdom,13460891,Telecommunications,1
https://www.inc.com/profile/callensvyncke,149,Waregem,2018.6382,Callensvyncke,Belgium,6833286,Energy,1
https://www.inc.com/profile/zhilye,150,Penza,2008.0807,Zhilye,Russian Federation,4885730,Real Estate,1
https://www.inc.com/profile/alfa-therm-doo,151,Metkovic,2006.5734,ALFA THERM d.o.o.,Croatia,4934922,Construction,1
https://www.inc.com/profile/transportnaya-kompaniya-optitreid-kargo,152,Moscow,1999.4072,Transportnaya Kompaniya Optitreid-Kargo,Russian Federation,5981925,Logistics & Transportation,1
https://www.inc.com/profile/apteka-24,153,G Dzerzhinsk,1993.6433,Apteka 24,Russian Federation,5909371,Health,1
https://www.inc.com/profile/varmega,154,Moscow,1990.1406,Varmega,Russian Federation,9018706,Manufacturing,1
https://www.inc.com/profile/tte-top-transport-europe-srl,155,Frosinone,1987.8684,T.T.E. Top Transport Europe S.R.L.,Italy,4660874,Logistics & Transportation,1
https://www.inc.com/profile/re-faktoring,156,Moscow,1985.1989,R.E. Faktoring,Russian Federation,5345032,Financial Services,1
https://www.inc.com/profile/the-ring-ring-company,157,Diegem,1963.0337,The Ring Ring Company,Belgium,7759214,Telecommunications,1
https://www.inc.com/profile/center-of-research-of-geological-data-geogrid-l,158,Moscow,1958.8062,Center of Research of Geological Data Geogrid L,Russian Federation,25904744,IT Services,1
https://www.inc.com/profile/tekhnoplast,159,Moscow,1952.0343,Tekhnoplast,Russian Federation,12441279,Manufacturing,1
https://www.inc.com/profile/selet-srl,160,Fiumicino,1945.9073,Selet S.R.L.,Italy,7583892,Construction,2
https://www.inc.com/profile/strv,161,Prague,1945.2897,STRV,Czech Republic,10407375,IT Services,1
https://www.inc.com/profile/promstroi,162,Moscow,1931.7864,Promstroi,Russian Federation,13239953,Construction,1
https://www.inc.com/profile/meeting-point-hotelmanagement-canaries-sl,163,San Bartolome De Tirajana,1930.3136,Meeting Point Hotelmanagement (Canaries) SL,Canary Islands (Spain),80073781,Travel & Hospitality,1
https://www.inc.com/profile/ilsole,164,Valea lui Mihai,1924.9792,Ilsole,Romania,12221944,Consumer Products & Services,1
https://www.inc.com/profile/weimat,165,Eupen,1924.72,Weimat,Belgium,10293980,Manufacturing,1
https://www.inc.com/profile/la-antigua-lavandera-sl,166,Alcala De Guadaira,1924.2077,La Antigua Lavandera SL.,Spain,35855864,Consumer Products & Services,1
https://www.inc.com/profile/babylonia,167,Wommelgem,1921.6624,Babylonia,Belgium,7484376,Retail,1
https://www.inc.com/profile/pompeamarket,168,Saint-Petersburg,1920.8259,Pompeamarket,Russian Federation,6534785,Retail,1
https://www.inc.com/profile/limited-liability-compamy-neotrans,169,Moscow,1914.0945,Limited Liability Compamy Neotrans,Russian Federation,19148621,Logistics & Transportation,1
https://www.inc.com/profile/bashavtokom-f,170,Ufa,1911.2946,Bashavtokom-F,Russian Federation,6771325,Retail,2
https://www.inc.com/profile/inmoberica-de-gestion-sl,171,Madrid,1910.4822,Inmoberica De Gestion SL,Spain,8963795,Construction,1
https://www.inc.com/profile/loopme,172,London,1905.364,LoopMe,United Kingdom,15702000,Media,1
https://www.inc.com/profile/orbita-avto,173,Moscow,1903.1787,Orbita-Avto,Russian Federation,21344170,Manufacturing,1
https://www.inc.com/profile/friteks-sia,174,Riga,1901.2032,Friteks SIA,Latvia,6829126,Business Products & Services,1
https://www.inc.com/profile/framec-truck-srl,175,Occimiano,1900.0316,Framec Truck S.R.L.,Italy,6519183,Manufacturing,1
https://www.inc.com/profile/hoviapteekki,176,Jyvaskyla,1900,Hoviapteekki,Finland,6000000,Health,1
https://www.inc.com/profile/obshchestvo-iskra,177,Aleksandrov,1881.6187,Obshchestvo Iskra,Russian Federation,9265177,Manufacturing,1
https://www.inc.com/profile/callcredit-consumer-limited,178,Leeds,1877.8798,Callcredit Consumer Limited,United Kingdom,10651773,Business Products & Services,1
https://www.inc.com/profile/bygg-engineering-as,179,Mjoendalen,1875.0157,Bygg Engineering AS,Norway,8653867,Engineering,2
https://www.inc.com/profile/alainsa,180,l'hospitalet De Llobregat,1868.0609,Alainsa,Spain,10298961,Construction,1
https://www.inc.com/profile/topforsport,181,Brno,1866.3441,Topforsport,Czech Republic,9760834,Retail,1
https://www.inc.com/profile/edil-cantieri-srl,182,Parma,1861.1879,Edil Cantieri S.R.L.,Italy,4781082,Construction,1
https://www.inc.com/profile/clinical-supplies-management-europe-sa,183,Corbais,1860.8121,Clinical Supplies Management Europe SA,Belgium,12759612,Logistics & Transportation,1
https://www.inc.com/profile/bbp-bandenia-plc,184,London,1860.4777,BBP Bandenia PLC,United Kingdom,149670378,Business Products & Services,1
https://www.inc.com/profile/european-energy-world-sl,185,Valencia,1855.4166,European Energy World SL,Spain,20557686,Energy,1
https://www.inc.com/profile/assorti-vest,186,Rostov-Na-Donu,1840.4039,Assorti-Vest,Russian Federation,26694253,Retail,1
https://www.inc.com/profile/interaction-haute-normandie,187,Rennes,1838.1099,Interaction Haute Normandie,France,4534305,Human Resources,1
https://www.inc.com/profile/risorgimento-srl,188,Torino,1837.3992,Risorgimento S.R.L.,Italy,4758543,Travel & Hospitality,1
https://www.inc.com/profile/valdres-diesel-as,189,Fagernes,1827.9532,Valdres Diesel AS,Norway,8006192,Logistics & Transportation,1
https://www.inc.com/profile/nastran-prevozi-storitve-trgovina,190,Sencur,1821.6418,NASTRAN prevozi storitve trgovina,Slovenia,5687195,Business Products & Services,1
https://www.inc.com/profile/aterno-gas-power-societa-a-responsabilita-limitata,191,L'Aquila,1811.9341,Aterno GAS & Power Societa' A Responsabilita' Limitata,Italy,8692035,Energy,1
https://www.inc.com/profile/limited-liability-partnership-voerman-international-moscow,192,Moscow,1807.5674,Limited Liability Partnership Voerman International Moscow,Russian Federation,44554994,Logistics & Transportation,1
https://www.inc.com/profile/gonvarri-ms-corporate-sociedad-limitada,193,Bilbao,1807.2182,Gonvarri MS Corporate Sociedad Limitada.,Spain,34349000,Business Products & Services,1
https://www.inc.com/profile/albacor-siberia,194,Omsk,1804.1491,Albacor Siberia,Russian Federation,4392834,Logistics & Transportation,1
https://www.inc.com/profile/unielectrica-energia-sa,195,Cordoba,1802.2686,Unielectrica Energia SA,Spain,86544549,Energy,1
https://www.inc.com/profile/gjesdal-caravanservice-as,196,Kleppe,1801.5284,Gjesdal Caravanservice AS,Norway,4528775,Retail,1
https://www.inc.com/profile/roph-entreprenad-ab,197,Hudiksvall,1768.9803,Roph Entreprenad AB,Sweden,7822692,Construction,1
https://www.inc.com/profile/1946-shop-slu,198,El Campello,1767.3235,1946 Shop SLU,Spain,5760170,Retail,1
https://www.inc.com/profile/terranova-papers-sa,199,Barcelona,1764.8909,Terranova Papers SA,Spain,23983000,Consumer Products & Services,1
https://www.inc.com/profile/dulcis-gourmet-gostinstvo-in-trgovina,200,Ljubljana,1764.4085,DULCIS GOURMET gostinstvo in trgovina,Slovenia,4949818,Travel & Hospitality,1
https://www.inc.com/profile/tek-pack,201,Moscow,1764.0655,Tek-Pack,Russian Federation,12733450,Manufacturing,1
https://www.inc.com/profile/daniel-wellington-ab,202,Stockholm,1762.7407,Daniel Wellington AB,Sweden,225021382,Consumer Products & Services,2
https://www.inc.com/profile/schibsted-classified-media-hungary,203,Budapest,1748.5751,Schibsted Classified Media Hungary,Hungary,3912805,Media,1
https://www.inc.com/profile/region64,204,Saratov,1741.5639,Region64,Russian Federation,4537724,Logistics & Transportation,1
https://www.inc.com/profile/aca-it---solutions,205,Hasselt,1729.2501,ACA IT - Solutions,Belgium,16614420,IT Services,1
https://www.inc.com/profile/splay-ab,206,Stockholm,1725.4966,Splay AB,Sweden,8178517,Advertising & Marketing,1
https://www.inc.com/profile/stadtwerke-stuttgart,207,Stuttgart,1725.323,Stadtwerke Stuttgart,Germany,54140959,Energy,1
https://www.inc.com/profile/magnolia-utveckling-ab,208,Stockholm,1717.4434,Magnolia Utveckling AB,Sweden,6423263,Construction,1
https://www.inc.com/profile/pk-evroelement,209,S. Sosnovka,1717.154,PK Evroelement,Russian Federation,3649463,Manufacturing,1
https://www.inc.com/profile/arcadia-tecnologie-srl,210,Nova Milanese,1713.5451,Arcadia Tecnologie S.R.L.,Italy,8726362,Computer Hardware,1
https://www.inc.com/profile/vetzoo-ab,211,Stockholm,1702.3316,Vetzoo AB,Sweden,4161926,Media,2
https://www.inc.com/profile/equitix-management-services-limited,212,London,1701.4121,Equitix Management Services Limited,United Kingdom,5583747,Business Products & Services,1
