 url, rank, city, company, country, growth, revenue, industry, yrs_on_list,Year
https://www.inc.com/profile/boxie24-storage,65,Berlin,Boxie24 Storage,Germany,2942.1488,7362000,Consumer Products & Services,1,2018
https://www.inc.com/profile/karpe-deal-sl,66,Madrid,Karpe Deal SL.,Spain,2935.4064,9992497,Software,1,2018
https://www.inc.com/profile/tk-smart-lines,67,Moscow,TK Smart Lines,Russian Federation,2901.5209,7424532,Logistics & Transportation,1,2018
https://www.inc.com/profile/partner-travel-doo-putnicka-agencija,68,Dubrovnik,"PARTNER TRAVEL d.o.o., putnicka agencija",Croatia,2885.6005,7060139,Travel & Hospitality,1,2018
https://www.inc.com/profile/framery,69,Tampere,Framery,Finland,2873.3196,17619000,Manufacturing,1,2018
https://www.inc.com/profile/diamond-love-bond-spa,70,Milan,Diamond Love Bond S.P.A.,Italy,2837.8028,29047731,Retail,1,2018
https://www.inc.com/profile/company-with-limited-liability-mirtex,71,Furmanov,Company With Limited Liability Mirtex,Russian Federation,2796.0046,30126586,Consumer Products & Services,1,2018
https://www.inc.com/profile/time-for-bedding-srl,72,Prato,Time For Bedding S.R.L.,Italy,2788.5475,13892325,Consumer Products & Services,1,2018
https://www.inc.com/profile/yit-kazan,73,Kazan,YIT Kazan,Russian Federation,2784.5147,20908751,Construction,1,2018
https://www.inc.com/profile/masthercell,74,Gosselies,Masthercell,Belgium,2780.2545,10039847,Health,1,2018
https://www.inc.com/profile/geodem-ambiente-srl,75,Venezia,Geodem-Ambiente SRL,Italy,2758.9242,8419246,Construction,1,2018
https://www.inc.com/profile/ecophos-industrial-services,76,Lummen,Ecophos Industrial Services,Belgium,2753.0836,21936504,Engineering,1,2018
https://www.inc.com/profile/u-screens-ab,77,Stockholm,U Screens AB,Sweden,2744.1911,8241328,Media,1,2018
https://www.inc.com/profile/leroy-processing-spain-sl,78,Pinto,Leroy Processing Spain SL.,Spain,2644.4725,34036921,Food & Beverage,1,2018
https://www.inc.com/profile/investitsionno-developerskaya-kompaniya,79,Novosibirsk,Investitsionno-Developerskaya Kompaniya,Russian Federation,2631.0251,10402693,Construction,1,2018
https://www.inc.com/profile/lundsbrunn-konferens-kurort-ab,80,Lundsbrunn,Lundsbrunn Konferens & Kurort AB,Sweden,2620.5592,7493073,Travel & Hospitality,1,2018
https://www.inc.com/profile/just-eat-italy-srl,81,Milan,Just-Eat Italy S.R.L.,Italy,2593.7479,19193412,Software,1,2018
https://www.inc.com/profile/darius-motors-srl,82,Bucharest,Darius Motors SRL,Romania,2591.7369,14735887,Retail,1,2018
https://www.inc.com/profile/optal-limited,83,London,Optal Limited,United Kingdom,2582.9706,159419481,Financial Services,1,2018
https://www.inc.com/profile/pa-entertainment-automaten-ag,84,Seiersberg,PA Entertainment & Automaten AG,Austria,2570.088,13658595,Consumer Products & Services,1,2018
https://www.inc.com/profile/liftovaya-kompaniya-promis,85,Saint-Petersburg,Liftovaya Kompaniya Promis,Russian Federation,2528.6938,9466715,Construction,1,2018
https://www.inc.com/profile/corplus-ab,86,Stockholm,Corplus AB,Sweden,2524.0911,5487893,Human Resources,1,2018
https://www.inc.com/profile/elinext,87,Waterford,Elinext,Ireland,2520.079,9989418,IT Services,1,2018
https://www.inc.com/profile/farmae-srl,88,Viareggio,Farmae' S.R.L.,Italy,2510.4326,8878055,Health,1,2018
https://www.inc.com/profile/sunskii-karyer,89,S. Yanishpole,Sunskii Karyer,Russian Federation,2508.9894,14155646,Agriculture & Natural Resources,1,2018
https://www.inc.com/profile/eliet,90,Otegem,Eliet,Belgium,2503.5632,8878541,Manufacturing,1,2018
https://www.inc.com/profile/vatbox,91,Maidenhead,VATBox,United Kingdom,2498.719,6122400,Financial Services,1,2018
https://www.inc.com/profile/everbe,92,Paris La D,everBe,France,2481.4655,5989000,IT Services,1,2018
https://www.inc.com/profile/td-kznm,93,Kotovsk,TD Kznm,Russian Federation,2472.7374,7939339,Manufacturing,1,2018
https://www.inc.com/profile/company-ds-ural,94,Krasnokamsk,Company DS Ural,Russian Federation,2468.4195,17484567,Manufacturing,1,2018
https://www.inc.com/profile/power-international-logistics-ab,95,Skillingaryd,Power International Logistics AB,Sweden,2457.8433,30708930,Logistics & Transportation,1,2018
https://www.inc.com/profile/degustabox-sl,96,Barcelona,Degustabox SL.,Spain,2452.6039,5731387,Food & Beverage,1,2018
https://www.inc.com/profile/webbanker,97,Moscow,Webbanker,Russian Federation,2447.2891,9552156,Financial Services,1,2018
https://www.inc.com/profile/sama-srl,98,Concesio,Sama SRL,Italy,2412.9149,10677275,Retail,1,2018
https://www.inc.com/profile/mallinckrodt-netherlands-holdings-bv,99,'S-Hertogenbosch,Mallinckrodt Netherlands Holdings B.V.,Netherlands,2411.8435,81767490,Business Products & Services,1,2018
https://www.inc.com/profile/nordic-finance-business-partner-ab,100,Stockholm,Nordic Finance Business Partner AB,Sweden,2403.7238,63246917,Financial Services,2,2018
https://www.inc.com/profile/helloprint,101,Rotterdam,Helloprint,Netherlands,2397.3985,25281714,Business Products & Services,1,2018
https://www.inc.com/profile/conserto,102,St Herblain,Conserto,France,2385.3767,13853813,IT Services,1,2018
https://www.inc.com/profile/nugnes-1920-srl,103,Bari,Nugnes 1920 S.R.L.,Italy,2380.4806,16851418,Retail,1,2018
https://www.inc.com/profile/linear-investments-limited,104,London,Linear Investments Limited,United Kingdom,2367.6197,7649325,Financial Services,1,2018
https://www.inc.com/profile/modulpanel-srl,105,Grosseto,Modulpanel S.R.L.,Italy,2360.1207,6670076,Manufacturing,1,2018
